frowning,fraʊnɪɳ
four-pronged,fɔrprɔɳd
derogatory,dɜɑgʌtɔri
aestivate,ɛstʌveɪt
john the evangelist,dʒɑnθiʌvændʒʌlʌst
rock-ribbed,rɑkrɪbd
cronus,kroʊnʌs
hymenopteran,haɪmʌnɑptɜʌn
softback book,sɔftbækbʊk
uncaulked,ʌnkɔlkt
immaculately,ɪmækjʌlʌtli
pheniramine,finirʌmin
western tanager,wɛstɜntænʌdʒɜ
lee side,lisaɪd
generation gap,dʒɛnɜeɪʃʌngæp
milk wagon,mɪlkwægʌn
voteless,voʊtlʌs
physiological anatomy,fɪziʌlɑdʒɪkʌlʌnætʌmi
operative field,ɑpɜʌtɪvfild
thomas robert malthus,tɑmʌsroʊbɜtmælθʌs
plumed tussock,plumɛdtʌsʌk
wellness,wɛlnʌs
prudent,prudʌnt
out of nothing,aʊtɔfnɑθɪɳ
secrete,sʌkrit
erethizon dorsatum,ɜiθɪzɑndɔrseɪtʌm
tongue-in-cheek,tʌɳɪntʃik
prologize,prʌlɔdʒaɪz
vanishing point,vænɪʃɪɳpɔɪnt
surplusage,sɜplʌsɪdʒ
tussilago farfara,tʌsɪlægʌfɑrfɑrʌ
pseudomonodaceae,sudʌmoʊnoʊdʌseɪɑ
basketball game,bæskʌtbɔlgeɪm
orchis mascula,ɔrkɪzmæskjulʌ
dashing,dæʃɪɳ
durabolin,dɜʌbɑlɪn
diospyros virginiana,dioʊspiroʊvɪrdʒiniɑnʌ
friuli,fruli
correspondence school,kɔrʌspɑndʌnsɛskul
legal brief,ligælbrif
addled,ædʌld
narghile,nɑrgaɪl
clan member,klænmɛmbɜ
corrosion,kɜoʊʒʌn
palsy-walsy,pɔlziwɔlzi
ruling class,rulɪɳklæs
pleurocarpous moss,plʊrʌkɑrpʌsmɔs
swine influenza,swaɪnɪnfluɛnzʌ
circlet,sɜkʌlt
sciatica,siætɪkʌ
nontextual matter,nɑntɛkstʃuʌlmʌtɜ
thing-in-itself,θɪɳʌnɪtsɛlf
ebionite,ɛbaɪʌnaɪt
impenitently,ɪmpɛnɪtɪntli
cypraea tigris,saɪpriʌtɪgrɪs
monaurally,mɑnɔrʌli
megalith,mɛgʌlɪθ
neaten,nitʌn
echinococcosis,ɛtʃʌnoʊkoʊkoʊsʌs
sexual assault,sɛkʃʌwʌlæsɔlt
banded purple,bændɪdpɜpʌl
genus castanospermum,dʒɛnjʌskæstʌnɑspɜmʌm
daylight savings,deɪlaɪtseɪvɪɳz
infancy,ɪnfʌnsi
gustatory,gʌstʌtɔri
cushaw,kʊʃɔ
cushat,kʊʃʌt
barcarolle,bɑrkɑroʊl
earplug,ɪrplʌg
cheval-de-frise,ʃɛvʌldɪfraɪz
family tetranychidae,fæmʌlɪtʌtreɪnikɪdeɪ
whipping boy,wɪpɪɳbɔɪ
albinal,ælbaɪnʌl
cliff swallow,klɪfswɑloʊ
indolebutyric acid,ɪndʌlʌbutɪrɪkæsʌd
upholstery needle,ʌpoʊlstɜinidʌl
impregnability,ɪmprɛgnʌbɪlɪti
helichrysum bracteatum,hɛlɪkrɪsʌmbræktitʌm
missile defence system,mɪsʌldɪfɛnsʌsɪstʌm
beach towel,bitʃtaʊʌl
ornithomimida,ɔrnɪθɑmimidʌ
half-evergreen,hæfɛvɜgrin
ore processing,ɔriprɔsɛsɪɳ
toowomba canary grass,tuwumbækʌnærɪgræs
dashiki,dʌʃiki
differential blood count,dɪfɜɛnʃiælblʌdkaʊnt
pica pica,pikɑpikʌ
wee small voice,wizmʌlvɔɪs
ivory,aɪvɜi
xylopia aethiopica,zaɪlʌpaɪɑiθioʊpɪkʌ
stingaree-bush,stɪɳgɜibʊʃ
regulator gene,rɛgjʌlʌtɔrdʒin
erythroxylaceae,ɛrɪθrɑksʌlʌseɪɑ
kangaroo hare,kæɳgɜuɛr
false tamarisk,fɔlsɛtʌmɜɪsk
primary colour for light,praɪmɛrʌkʌlɜfɔrlaɪt
symbiotic,sɪmbiɑtɪk
double-geared,dʌblɛgɪrd
strider,straɪdɜ
hymenopteron,haɪmʌnoʊptɛrʌn
absorptive,ʌbzɔrptɪv
piece of eight,pisiʌfeɪt
uniat church,junɪttʃɜtʃ
coinciding,koʊʌnsaɪdɪɳ
leather flower,lɛðɜflaʊɜ
buffalo fish,bʌfʌloʊfɪʃ
phillips screw,fɪlɪpsskru
cuddlesome,kʌdʌlsʌm
cerebral thrombosis,sɛrʌbrʌlθrɑmboʊsʌs
bos primigenius,bɔsprimɪdʒiniʌs
dantesque,dɑntɛsk
dichromat,daɪkroʊmæt
pull ahead,pʊlʌhɛd
social development commission,soʊʃʌldɪvɛlʌpmɛnʌkʌmɪʃʌn
gerhard herzberg,gɜhɑrtɜzbɜg
oyster dressing,ɔɪstɜdrɛsɪɳ
payena,peɪinʌ
part-owner,pɜtaʊnɜ
eratosthenes,ɪrætɔsθinz
sayeret matkal,seɪɜʌtmætkʌl
teriyaki,tɛrɪjɑki
bereave,bɜiv
subfamily pythoninae,sʌbfæmʌlipaɪθɑnʌneɪ
storm lamp,stɔrmlæmp
cow parsnip,kaʊpɑrsnɪp
mercaptopurine,mɜkæptɑpjʊrin
big brown bat,bɪgbraʊnbæt
decimal numeration system,dɛsʌmælnumɜeɪʃʌnsɪstʌm
heavy water,hɛviwɔtɜ
sustain,sʌsteɪn
pain sensation,peɪnsɛnseɪʃʌn
audio compact disc,ɔdioʊkʌmpæktdɪsk
conic section,kɑnɪksɛkʃʌn
genus alsophila,dʒɛnjʌsɔlsoʊfilʌ
silvern,sɪlvɜn
edna millay,ɛdnʌmɪleɪ
office furniture,ɔfʌsfɜnɪtʃɜ
rickettsiaceae,rɪkɪtsiɑtʃeɪɑ
accelerando,æksɛlɜʌndoʊ
labrador sea,læbrʌdɔrziʌ
inherently,ɪnhɪrʌntli
verde antique,vɜdiʌntik
silvery,sɪlvɜi
california romero,kælɪfɔrnjɜoʊmɛroʊ
genus melospiza,dʒɛnjʌsmɪlɔspizʌ
uphold,ʌphoʊld
hedera,hɛdɛrʌ
philip dormer stanhope,fɪlʌpdɜmɜstænʌp
yemeni rial,jɛmʌnɪriʌl
escape hatch,ɪskeɪphætʃ
philosopher,fʌlɑsʌfɜ
saintpaulia,seɪntpɔljʌ
correlative,kɔrʌleɪtɪv
harlean carpenter,hɑrlinkɑrpʌntɜ
cigarillo,sɪgɜɪloʊ
facia,feɪʃʌ
littleneck clam,lɪtʌlnɛkklæm
pole vaulting,pʌlɛvɔltɪɳ
freewoman,friwʊmʌn
immingle,ɪmɪɳgʌl
prisoner of war,prɪzʌnɜɑfwɔr
alpinia officinarum,ælpɪnɪɔfɪsʌnɛrʌm
platichthys flesus,plætɪkθizfʌlsʌs
dead-men's-fingers,dɛdmɛnʌzfɪɳgɜz
filicales,fɪlʌkeɪlz
megaderma lyra,mɛgʌdɜmʌlaɪrʌ
interior design,ɪntɪriɜdʌzaɪn
denigrative,dɛnɪgreɪtɪv
cheap shot,tʃipʃɑt
straight-arm,streɪtɑrm
methamphetamine hydrochloride,mɛθæmfɛtʌminhaɪdroʊklɔraɪd
short aria,ʃɔrtɑriʌ
choir loft,kwaɪrlɔft
objective case,ʌbdʒɛktʌvkeɪs
bacillary,bæsʌlɛri
unary operation,ʌnɑrjɔpɜeɪʃʌn
odontaspididae,oʊdɑntæspʌdaɪdeɪ
genus dendrobium,dʒɛnjʌzdɛndroʊbiʌm
measureless,mɛʒɜlʌs
schoolbag,skulbæg
far-out,fɑraʊt
sanskritic language,sænskrɪtiklæɳgwʌdʒ
whisk fern,wɪskfɜn
toxicognath,tɑksɪkɑgnʌθ
salvation army,sælveɪʃʌnɑrmi
sirach,sɪrɑk
tareekh e kasas,tɜikɛkɑsʌs
wagerer,weɪdʒɜɜ
batholith,bæθʌlɪθ
tiberius claudius drusus nero germanicus,tɪbiriʌsklɔdiʌsdrusʌsnɜoʊgɜmænɪkʌs
forty-two,fɔrtitu
batholite,bæθʌlaɪt
erogenous zone,ɪrɑdʒʌnʌszoʊni
vena cerebrum internus,vɛnʌsɛrʌbrumintɜnʌs
st. ignatius,stɪgneɪʃʌs
computer filename,kʌmpjutɜfaɪlneɪm
moorish architecture,mʊrɪʃɑrkʌtɛktʃɜ
flexibly,flɛksʌbli
atlantis,ætlæntɪs
legitimatise,lʌdʒɪtʌmʌtaɪz
lie in wait,laɪɪnweɪt
platt national park,plætnæʃʌnɑlpɑrk
cercidium,sɜsɪdiʌm
egyptian islamic jihad,ɪdʒɪpʃʌnɪslɑmɪkudʒihæd
index number,ɪndɛksnʌmbɜ
enthusiast,ɪnθuziæst
acipenseridae,ʌsɪpɛnsɜɪdeɪ
moorhen,mʊrhɛn
lesser galangal,lɛsɜgʌlæɳgʌl
rosa eglanteria,roʊzeɪglæntɛriʌ
atlantic,ætlæntɪk
corrosive,kɜoʊsɪv
enthusiasm,ɪnθuziæzʌm
family asclepiadaceae,fæmʌljɑsklipiʌdæseɪɑ
allmouth,ɔlmʌθ
flexible,flɛksʌbʌl
turkestan,tɜkstæn
alsatia,ælseɪʃʌ
valetta,vɑlɛtʌ
gorgonacea,gɔrgʌnʌsiʌ
hubble parameter,hʌbʌlpɜæmʌtɜ
william butler yeats,wɪljʌmbʌtlɜiæts
wisely,waɪzli
hogchoker,hɔgkoʊkɜ
amenable,ʌmɛnʌbʌl
cochimi,kɑkɪmi
piousness,paɪʌsnʌs
inflammatory,ɪnflæmʌtɔri
ceratophyllaceae,sɛrʌtʌfɪlʌseɪɑ
amauropelta,æmɔrʌpɛltʌ
cambodia,kæmboʊdiʌ
honourable,ɑnɜʌbʌl
dilleniaceae,dɪlʌnaɪʌseɪɑ
capability,keɪpʌbɪlɪti
integral,ɪntʌgrʌl
ladies' man,leɪdizmʌn
rancidness,rænsɪdnʌs
fizzy,fɪzi
leymus arenaria,leɪmusɜɪnɛriʌ
seychelles islands,seɪʃɛlzɪslʌndz
shoo away,ʃuʌweɪ
rosewood,roʊzwʊd
wisent,wɪsʌnt
ribhus,ribʌs
victoria clafin woodhull,vɪktɔriæklɑfɪnwʊdhʌl
anti-intellectual,æntintʌlɛktʃuʌl
topsy-turvily,tɑpsitɜvɪli
myeloblast,maɪɪloʊblæst
sphyrnidae,sfɜnɪdeɪ
affirmation,æfɜmeɪʃʌn
dante,dɑnteɪ
bottled gas,bɑtʌldgʌz
suss out,sʌsaʊt
family lymantriidae,fæmʌlaɪlimæntrideɪ
military action,mɪlɪtɛriækʃʌn
treillage,traɪlɪdʒ
handies peak,hændispik
genus paris,dʒinʌspɜɪs
shoplift,ʃɑplɪft
planning board,plænɪɳbɔrd
propulsive,prʌpʌlsɪv
apical placentation,æpɪkælpleɪsʌnteɪʃʌn
shrubby bittersweet,ʃrʌbibɪtɜswit
upper hand,ʌpɜhænd
canoodle,kʌnudʌl
third class,θɜdklæs
accountant,ʌkaʊntʌnt
flavorsomeness,fleɪvɜsʌmnʌs
premarital,primɛrʌtʌl
moscow,mɑskoʊ
barn owl,bɑrnaʊl
uropygial gland,jʊrʌpigiælglʌnd
obsequiousness,ʌbsikwiʌsnʌs
callathump,kælʌθʌmp
filter bed,fɪltɜbɛd
correctly,kɜɛktli
spectroscopic,spɛktrʌskɑpɪk
word finder,wɜdfaɪndɜ
pardonably,pɑrdʌnʌbli
control system,kʌntroʊlsɪstʌm
muton,mjutʌn
blowout,bloʊaʊt
corn chowder,kɔrnkaʊdɜ
lexically,lɛksɪkʌli
honourably,ɑnɜʌbli
citizenship day,sɪtɪzʌnʃɪpdeɪ
homunculus,hoʊmʌɳkjʌlʌs
openbill,oʊpʌnbʌl
californian,kælɪfɔrnjʌn
fraxinus pennsylvanica subintegerrima,fræksinʌspɛnsɪlveɪnikʌsʌbintigɜimʌ
clangor,klæɳgɜ
dark-spotted,dɑrkspɑtɪd
wind bell,waɪndbɛl
legitimation,lʌdʒɪtʌmeɪʃʌn
pardonable,pɑrdʌnʌbʌl
spirituous,spɪrɪtʃuʌs
hinge,hɪndʒ
electro-acoustic transducer,ɪlɛktroʊʌkustɪktrænsdusɜ
tactile,tæktɪl
monetarism,mɑnʌtɜɪzʌm
tidings,taɪdɪɳz
insouciance,ɪnsusiʌns
foxtail millet,fɑksteɪlmɪlʌt
imbricate,ɪmbrɪkeɪt
monetarist,mɑnʌtɜɪst
amalgam,ʌmælgʌm
spinal cord,spɪnælkɔrd
slickness,slɪknʌs
genus orthilia,dʒɛnjʌsɜðiliʌ
canoe birch,kʌnubɜtʃ
coneflower,koʊnflaʊɜ
satyendra n. bose,sɑtjɛndrænboʊz
alfred tennyson,ælfrɪdtɛnɪsʌn
midnight,mɪdnaɪt
cruise control,kruzʌkɑntrɑl
remembering,rɪmɛmbɜɪɳ
unowned,ʌnaʊnd
box family,bɑksfæmʌli
sainfoin,seɪnfɔɪn
fontenoy,fɑntɪnɔɪ
schemozzle,skimɑzʌl
genus clianthus,dʒɛnjʌskliænθuz
hickey,hɪki
bovini,boʊvini
bovine,boʊvaɪn
family roccellaceae,fæmʌlaɪɜoʊtʃɛlɑtʃeɪɑ
finger-painting,fɪɳgɜpeɪntɪɳ
frenchwoman,frɛntʃwʊmʌn
range animal,reɪndʒʌnʌmʌl
dccp,dkp
nova style salmon,noʊvæstaɪlzælmʌn
indian buffalo,ɪndiænbufɑloʊ
prologise,prɑlʌdʒaɪz
carpenteria,kɑrpʌntɛriʌ
legitimatize,lʌdʒɪtʌmʌtaɪz
biotite,baɪʌtaɪt
dendroica,dɛndroʊɪkʌ
superordinate word,supɜɔrdʌnʌtwɜd
arrow wood,æroʊwʊd
cochise,koʊtʃaɪz
narrow-bodied,nɛroʊbɑdid
marmota flaviventris,mɑrmʌtʌflævivɛntrʌs
conjoin,kɑndʒɔɪn
copaiba,koʊpeɪbʌ
fad diet,fædit
python,paɪθɑn
search engine,sɜtʃɛɳgini
bidding contest,bɪdɪɳkoʊntɛst
motor mower,moʊtɜmoʊɜ
jakob liebmann beer,dʒækʌblibmʌnbɪr
propulsion,prʌpʌlʃʌn
light whipping cream,laɪtwɪpɪɳkrim
departmentally,dɪpɑrtmɛntʌli
prosopis glandulosa,prʌsɑpɪsglændʒʌloʊsʌ
complex instruction set computing,kʌmplɛksɪnstrʌkʃʌnsɛtkʌmpjutɪɳ
hindu,hɪndu
ten-strike,tɛnstraɪk
ameiuridae,ʌmiɪrɪdeɪ
hindi,hɪndi
canned food,kænɪdfud
phase modulation,feɪzmɑdʒʌleɪʃʌn
before long,bɪfɔrlɔɳ
new haven,nuheɪvʌn
azerbajdzhan republic,ɑzɜbaɪdʒænrɪpʌblɪk
english teacher,ɪɳglɪʃtitʃɜ
diapason,daɪpæsʌn
gratuity,grʌtuɪti
congenital disease,kʌndʒɛnʌtʌldisiz
parkeriaceae,pɑrkɜiɑtʃeɪɑ
egress,ɪgrɛs
jed'dah,dʒɛdʌdʌ
subtropic,sʌbtrɑpɪk
vinification,vɪnɪfɪkeɪʃʌn
european economic community,jʊrʌpiʌnɛkʌnɑmɪkkʌmjunʌti
reinstatement,riɪnsteɪtmʌnt
milk-sick,mɪlksɪk
pooling of interest,pulɪɳgoʊfɪntrʌst
this evening,ðɪsivʌnɪɳ
payday,peɪdeɪ
nova zembla,noʊvʌzɛmblʌ
affirmative,ʌfɜmʌtɪv
ironing,aɪɜnɪɳ
follies,fɑliz
neonate,nioʊneɪt
corrected,kɜɛktʌd
russian olive,rʌʃʌnɑlɪv
verbal expression,vɜbʌlɛksprɛʃʌn
master of education,mæstɜɑfɛdʒʌkeɪʃʌn
musical interval,mjuzɪkælɪntɜvʌl
dishearten,dɪshɑrtʌn
efficiently,ɪfɪʃʌntli
aloys senefelder,æloʊɪsɛnɪfɛldɜ
dark glasses,dɑrkglæsɪz
curry powder,kʌripaʊdɜ
return,rɪtɜn
spearmint oil,spɪrmɪntɔɪl
aegospotamos,eɪgɑspʌteɪmoʊz
angora rabbit,æɳgɔrʌræbʌt
fire engine,faɪrindʒʌn
genus selar,dʒɛnʌsɪlɜ
timothy leary,tɪmʌθilɪri
ironist,aɪrʌnʌst
cayenne jasmine,kaɪɛndʒæzmɪn
expiable,ɪkspaɪʌbʌl
pencil cedar,pɛnsʌltʃeɪdɑr
european bog asphodel,jʊrʌpiʌnboʊgɑsfoʊdɛl
social welfare,soʊʃʌlwɛlfɛr
tyrrhenian sea,tɜiniʌnziʌ
mikvah,mɪkvʌ
shears,ʃɪrz
ribier,ribiɜ
reducing diet,rʌdusɪɳdiɛt
duck down,dʌkdaʊn
slighting,slaɪtɪɳ
horridly,hɔrʌdli
amygdalus communis,æmɪgdʌlʌskʌmjunʌs
subfamily turdinae,sʌbfæmʌlʌtɜdʌneɪ
numeration system,numɜeɪʃʌnsɪstʌm
deadlight,dɛdlaɪt
wild coffee,waɪldkɔfi
a bit,æbɪt
cyclooxygenase,saɪklʌɑksʌdʒʌneɪs
demoralizing,dɪmɔrʌlaɪzɪɳ
lemon drop,lɛmʌndrɑp
rhyacotriton olympicus,raɪʌkoʊtritoʊnʌlɪmpɪkʌs
obtuse-angled triangle,ɑbtusʌɳgʌldtraɪæɳgʌl
genus pseudaletia,dʒɛnjʌspsudʌliʃʌ
metaphysically,mɛtʌfɪzɪkʌli
richard adolph zsigmondy,rɪtʃɜdædoʊlfsɪgmɑndi
tactics,tæktɪks
sentiment,sɛntʌmʌnt
sheath,ʃiθ
natantia,nʌtɑnʃʌ
dispersal,dɪspɜsʌl
gnarl,nɑrl
schoolboy,skulbɔɪ
third-rate,θɜdreɪt
nitpicker,nɪtpɪkɜ
fawning,fɔnɪɳ
aboveboard,ʌbʌvbɔrd
gelechiid moth,gɛlʌtʃidmʌθ
prosthetic device,prɑsθɛtɪkdɛvʌs
virgin's bower,vɜdʒʌnzboʊɜ
falling,fɑlɪɳ
confetti,kʌnfɛti
sub-assembly,sʌbʌsɛmbli
pythia,pɪθiʌ
new ballgame,nubɔlgeɪm
unsorted,ʌnsɔrtɪd
gnash,næʃ
narrator,nɛreɪtɜ
blastomycete,blæstoʊmaɪsit
soapstone,soʊpstoʊn
intrepidly,ɪntrɛpʌdli
all-powerful,ɔlpaʊɜfʌl
rolando's area,roʊlɑndoʊzɜiʌ
sabbat,sʌbæt
milk sickness,mɪlksɪknʌs
first cousin,fɜstkʌzin
credible,krɛdʌbʌl
sturdily,stɜdʌli
car-ferry,kɑrfɛri
villus,vɪlʌs
genus molva,dʒɛnjʌsmɔlvʌ
sid caesar,sɪdkeɪsɜ
irreproducible,ɪrʌprʌdusʌbʌl
red helleborine,rɛdhɛlʌbɔrini
credibly,krɛdʌbli
localization of function,loʊkʌlʌzeɪʃʌnɔfʌɳkʃʌn
wheatear,witɪr
order falconiformes,ɔrdɜfælkʌnʌfɔrmz
self-awareness,sɛlfʌwɛrnʌs
order pezizales,ɔrdɜpɛzizɑlɛs
fraudulence,frɔdʒʌlʌns
naboom,nʌbum
far-off,fɑrɔf
run-through,rʌnθru
denationalisation,dɪnæʃʌnʌlɪzeɪʃʌn
mountain lily,maʊntʌnlʌli
amen cadence,ʌmɛnkʌdʌns
psychologically,saɪkʌlɑdʒɪkli
vomer,voʊmɜ
intangibleness,ɪntændʒʌbʌlnʌs
detached retina,dɪtætʃɪdrɛtinʌ
foreigner,fɔrʌnɜ
isthmian,ɪsmiʌn
topmost,tɑpmoʊst
chock up,tʃɑkʌp
histoincompatibility,hɪstɔɪnkɑmpʌtɪbɪlɪti
chapatti,kɑpɑti
italian cypress,ɪtæljʌnsiprɪs
vomit,vɑmʌt
tag along,tægʌlɔɳ
mercy seat,mɜsisit
william rowan hamilton,wɪljʌmroʊʌnhæmʌltʌn
american parasol,ʌmɛrʌkænpɛrʌsɔl
sick parade,sɪkpɜeɪd
city limits,sɪtilɪmɪts
accordance,ʌkɔrdʌns
supraorbital,suprʌɔrbʌtʌl
adhesion,ædhiʒʌn
dust storm,dʌststɔrm
people,pipʌl
designing,dɪzaɪnɪɳ
war department,wɔrdɪpɑrtmʌnt
annihilator,ʌnaɪʌleɪtɜ
family rubiaceae,fæmʌlirʌbiɑtʃeɪɑ
menachem begin,mʌnɑhʌmbɪgɪn
flat panel display,flætpænʌldɪspleɪ
alarming,ʌlɑrmɪɳ
cannon,kænʌn
consign,kʌnsaɪn
agranulocytic,ægrʌnuloʊsaɪtɪk
lineation,lɪnieɪʃʌn
depolarisation,dɪpoʊlɜɪzeɪʃʌn
john walker,dʒɑnwɔkɜ
ship route,ʃɪprut
sexual climax,sɛkʃuælklaɪmæks
innocently,ɪnʌsʌntli
rhizophora mangle,raɪzoʊfɜʌmæɳgʌl
ginger snap,dʒɪndʒɜsnæp
adhesive,ædhisɪv
mountain lion,maʊntʌnljʌn
electric-arc furnace,ɪlɛktrɪkɑrsfɜnʌs
dyspneic,dɪspniɪk
independent state of papua new guinea,ɪndɪpɛndʌntsteɪtiɔfpɑpuɑnugwɪniʌ
thrashing,θræʃɪɳ
durazzo,dʊrɑzoʊ
nipple shield,nɪpʌlʃild
orthomorphic projection,ɔrθʌmɔrfɪkprʌdʒɛkʃʌn
jet propulsion,dʒɛtprʌpʌlʃʌn
plutonic,plutɑnɪk
tweedle,twidʌl
megasporophyll,mɛgʌspɔrʌfɪl
boringly,bɔrɪɳli
loudly,laʊdli
field intensity,fildɪntɛnsʌti
soubrette,subrɛt
boiling point,bɔɪlɪɳpɔɪnt
lawsuit,lɔsut
show biz,ʃoʊbɪz
psychic trauma,saɪkɪktrɔmʌ
hair-shirted,hɛrʃɜtɪd
coureur de bois,kɔrurdʌbwɑ
uvea,uviʌ
beer barrel,bɪrbærʌl
rest period,ristpɪriʌd
burial ground,bɛriælgraʊnd
gourde,gɔrd
recognised,rɛkʌgnaɪzd
japan wax,dʒʌpænwæks
camarilla,kɑmɑrɪlʌ
agave sisalana,ʌgævʌsɪsʌlɑnʌ
make relaxed,mækɜɪlækst
genus parus,dʒinʌspɜʌs
coal miner,koʊlmɪnɜ
brain wave,breɪnweɪv
eudyptes,judɪptiz
house decorator,haʊsdɛkɜeɪtɜ
corrode,kɜoʊd
at any expense,ætʌnjɛkspɛns
handball,hændbɔl
carrageenan,kɛrʌginʌn
lake herring,leɪkhɜɪɳ
mujtihad,mjudʒʃæd
langston hughes,læɳstʌnhjuz
astronavigation,æstrʌnævʌgeɪʃʌn
fire pit,faɪɜpɪt
sulphur bacteria,sʌlfɜbæktɪriʌ
arenaria interpres,ɜinʌrieɪntɜprʌz
octal,ɑktʌl
verey pistol,vɜaɪpɪstʌl
bignonia,bɪgnoʊniʌ
lawrencium,lɔrɛnsiʌm
kick back,kɪkbæk
octad,ɑktæd
past participle,pæstpɑrtɪsɪpʌl
screech owl,skritʃaʊl
fable,feɪbʌl
girlhood,gɜlhʊd
piano music,piænoʊmjuzɪk
consist,kʌnsɪst
belamcanda chinensis,bɛlʌmkændæʃʌnɛnsʌs
borago officinalis,bɔrɑgufɪsʌnʌlʌs
hyazyme,haɪʌzaɪm
new england aster,nuʌnglændæstɜ
appendicular artery,ʌpɛndɪkjʌlɜɑrtɜi
mouse deer,maʊsdɪr
frozen orange juice,froʊzʌnɜæɳdʒus
tristan tzara,trɪstænʃzɑrʌ
scathe,skeɪð
diverging,daɪvɜdʒɪɳ
whipping post,wɪpɪɳpɔst
sandberry,sændbɛri
spousal,spaʊzʌl
nonextensile,nɑnɪkstɛnsʌl
sparrow hawk,spɛroʊhɔk
ornamentation,ɔrnʌmɛnteɪʃʌn
business department,bɪznʌsdɪpɑrtmʌnt
kvass,kvʌs
voluptuary,vʌlʌptʃuɛri
fallible,fælʌbʌl
enjoyably,ɛndʒɔɪʌbli
gluttony,glʌtʌni
cozenage,koʊzɪnɪdʒ
unexceptionable,ʌnɪksɛpʃʌnʌbʌl
enjoyable,ɛndʒɔɪʌbʌl
striping,straɪpɪɳ
aptenodytes patagonica,æptɛnʌdaɪtspætʌgɑnɪkʌ
symbiosis,sɪmbaɪoʊsʌs
isinglass,aɪsɪɳglæs
californium,kælɪfɔrniʌm
depersonalisation,dipɜsʌnʌlɪzeɪʃʌn
family phallaceae,fæmʌlifeɪlʌseɪɑ
boatbuilder,boʊtbɪldɜ
laurel family,lɔrʌlfæmʌli
quahaug,kwɑhaʊg
robert maynard hutchins,rɑbɜtmeɪnɜdhʌtʃɪnz
cocobolo,koʊkoʊboʊloʊ
convexity,kʌnvɛksʌti
unpatriotic,ʌnpeɪtriɑtɪk
unquietly,ʌnkwaɪʌtli
lappula,læpulʌ
semi-skimmed milk,sɛmɪskɪmdmɪlk
dormie,dɔrmi
english foxhound,ɪɳglɪʃfɑkshaʊnd
service cutback,sɜvɪskʌtbæk
violate,vaɪʌleɪt
fleeceable,flisʌbʌl
indirect discourse,ɪndɜɛktdɪskɔrs
muted,mjutɪd
potsherd,pɑʃɜd
batting helmet,bætɪɳhɛlmʌt
cephalopod,sɛfʌlʌpɑd
inhabit,ɪnhæbʌt
louis jacques mande daguerre,luiʒɑksmʌndɪdɑgɛr
major mode,meɪdʒɜmoʊd
genus crocethia,dʒɛnjʌskroʊsɛθiʌ
melosa,mɛloʊsʌ
interior angle,ɪntɪriɜæɳgʌl
police headquarters,pʌlishɛdkwɔrtɜz
oil conservation,ɔɪlkʌnsɜveɪʃʌn
quasar,kweɪzɑr
amyloid plaque,æmɪlɔɪdplæk
dwarf astilbe,dwɔrfæstɪbi
shortgrass,ʃɔrtgræs
prayerful,prɛrfʌl
octet,ɑktɛt
theta wave,θɛtʌweɪv
pyroxylin,paɪrɑksʌlɪn
prumnopitys andina,prʌmnɑpɪtisændinʌ
syncretical,sɪnkritʌkʌl
limited review,lɪmʌtɪdrivju
dolourous,doʊlɜʌs
agamid lizard,ægʌmɪdlɪzɜd
endonuclease,ɛndoʊnuklieɪz
rate of inflation,reɪtiɔfɪnfleɪʃʌn
chamber,tʃeɪmbɜ
abysmally,ʌbɪzmʌli
optic cup,ɑptɪkʌp
debilitating,dʌbɪlʌteɪtɪɳ
debaucher,dʌbɔtʃɜ
phlebogram,flʌbʌgræm
umbelliferous,ʌmbɛlɪfɜʌs
ganges river,gændʒizraɪvɜ
lemon yellow,lɛmʌnjɛloʊ
novitiate,noʊviʃɪeɪt
dip into,dɪpɪntoʊ
cacalia javanica,kʌkɑliɑdʒʌvænɪkʌ
rapporteur,ræpɔrtɜ
arm's length,ɑrmzlɛɳθ
time exposure,tɪmiɛkspoʊʒɜ
arthritis,ɑrθraɪtʌs
application-oriented language,æplʌkeɪʃʌnɔriɛntɪdlæɳgwʌdʒ
dyspneal,dɪspniʌl
word stress,wɜdstrɪs
annihilated,ʌnaɪʌleɪtɪd
detoxification,dɪtɑksɪfɪkeɪʃʌn
nontraditional,nɑntrʌdɪʃʌnʌl
cupping,kʌpɪɳ
incineration,ɪnsɪnɜeɪʃʌn
arthritic,ɑrθrɪtɪk
villon,vilɔn
dormer,dɔrmɜ
conventionalized,kʌnvɛnʃʌnʌlaɪzd
trifid bur marigold,traɪfɪdbɜmɛrʌgoʊld
farmer's calendar,fɑrmɜzkɑleɪndɑr
new testament,nutɛstʌmʌnt
sloth bear,slɑθbɛr
department of chemistry,dɪpɑrtmɛntoʊfkɛmʌstri
perspicuousness,pɜspɪkjuʌsnʌs
check overdraft credit,tʃɛkʌvɜdræftkrɛdɪt
dwarf pipefish,dwɔrfpaɪpfɪʃ
minute gun,mɪnʌtgʌn
diving dress,dɪvɪɳdrɛs
conceivability,kʌnsivʌbɪlɪti
carcharhinus limbatus,kɑrtʃɜhɪnʌslaɪmʌtʌs
purkinje's system,pɜkɪndʒssɪstʌm
clanger,klæɳɜ
debauchee,dɛbaʊki
get it on,gɛtɪtʌn
kaluresis,kʌlurʌsɪs
sexagenarian,sɛksʌdʒɪnɛriʌn
rock pink,rɑkpɪɳk
